lineId,dialogueLineType,personName,content,eventNames,eventArgs,choiceAtMindBox
99055,Control,,,To,99056,
99056,Control,,RPG，点击打开百叶窗,To,99057,
99057,Title,,Day 7|西格珥德,To,99058,
99058,Narration,,有什么改变了，你感觉得到。你的收藏品有些异样。,To,99059,
99059,Narration,,……,To,99060,
99060,Narration,,你注意到那把玩具般的断剑变回了它本来的模样。,To,99061,
99061,Narration,洛弥瓦,开门了吗老板！,To,99062,
99062,Narration,,喂……现在还没过中午。,To,99063,
99063,Narration,洛弥瓦,给我个超大杯的【灯塔】,To,99064,
99064,Control,,跳接现实背景,To,99065,
99065,Narration,狗,就是说呀。,To,99066,
99066,Narration,多萝西,狗、狗说话了。,To,99067,
99067,Narration,占卜师,没事，这只是你压力太大产生的幻觉。,To,99068,
99068,Narration,狗,哈喽忍人！,To,99069,
99069,Narration,多萝西,压力太大……产生的，幻觉。,To,99070,
99070,Mind,,她看看身边的朋友，又看看你。,To,99071,
99071,Narration,多萝西,……我们三个人产生的幻觉怎么会是一样的？,To,99072,
99072,Mind,,“Bingo！”\n你幻想中的朋友相当满意，\n终于等来了个明白事理的人。,To,99073,
99073,Narration,狗,那情况就比较复杂了。,To,99074,
99074,Narration,狗,比如说现实中你们吃了同一种的毒蘑菇，此刻生命危在旦夕；\n或者你们是同一名精神病患分裂出的不同人格；\n再或者这整个世界根本就是大学生创作结课作业时的幻想产物……,To,99075,
99075,Control,,多萝西默认、占卜师不安,To,99076,
99076,Narration,,某种不安的气氛在你们三人之间蔓延。,To,99077,
99077,Narration,狗,呃，我的意思是说，……汪，汪汪。,To,99078,
99078,Narration,,你们都撇开头去，不再看那只诡异的狗。,To,99079,
99079,Narration,狗,喂！喂！我就在这里啊！,To,99080,
99080,Narration,狗,一旦你已经长大到不能接受一只会说话的小狗，你早晚会怀疑一切的真实性。而一只不能放弃说话的狗，将永远是流浪狗。,To,99081,
99081,Control,,黑屏，然后重新点亮开始放CG,To,99082,
99082,Narration,,她点了两杯酒，其中一杯用于纪念已经不在这里的朋友。,To,99083,
99083,Control,,去掉文本内容，切CG,To,99084,
99084,Narration,,“真正被困在这里的，只有不懂得道别的你而已。”,To,99085,
99085,Control,,去掉文本内容，切CG,To,99086,
99086,Narration,,我在此，祝福你。\n那些我已经拥有的自由，我希望你也能拥有。\n一切我没能实现的祝愿，我仍希望你能拥有。,To,99087,
99087,Control,,去掉文本内容，切CG,To,99088,
99088,Narration,,关于海洋的谣言，此刻仍在陆地上传播。\n如果我们知道了所谓的真相，一切都不复存在，真或假还有什么意义？,To,99089,
99089,Control,,去掉文本内容，切CG,To,99090,
99090,Narration,,“我把我曲径分岔的花园留给多种未来。”,To,99091,
99091,Control,,去掉文本内容，切CG,To,99092,
99092,Narration,,我读到的一切都沉入了我的梦里，这一整夜，我梦见的都是错觉。,To,99093,
99093,Control,,去掉文本内容，切CG,To,99094,
99094,Narration,,直到你能够痛苦，能够容忍眼泪。\n你将前行，而永夜长存。\n永夜长存，而，你将前行。,To,99095,
99095,Control,,黑屏,End,,
